！	;a
避祸	biho
篦	bihp
秕	bihp
鼻	biht
庇护	bihu
避讳	bihv
笔画	bihx
逼婚	bihy
庇	bii
诐	bii
觱	biig
觱	biiq
逼近	bijb
笔记	biji
毕竟	bijk
必将	bijl
鼻尖	bijm
比肩	bijm
比较	bijn
贲	bijo
必究	bijq
闭卷	bijr
别出机杼	bijv
笔架	bijx
不成敬意	bijy
狴	bik
避开	bikd
狴	bikg
必看	bikj
痹	bikl
鼻孔	biks
闭口	bikz
闭	bil
毙了	bile
比例	bili
碧蓝	bilj
裨	bilj
鼻梁	bill
拔出萝卜带出泥	biln
笔录	bilu
比率	bilv
壁垒	bilw
碧	bim
鼻毛	bimc
闭门	bimf
珌	bimh
鞭长莫及	bimj
笔名	bimk
避免	bimm
笔墨	bimo
闭幕	bimu
比美	bimw
陛	bin
鲾	bin
陛	bing
比拟	bini
避难	binj
弼	binn
婢女	binv
鲾	binw
俾	bio
铋	bio
佖	bioh
必	bip
毙	bip
半成品	bip
比拼	bipb
愎	bipe
坒	bipg
毖	biph
毕	bipj
邲	bipl
逼迫	bipo
比起	biqi
鼻腔	biql
壁球	biqq
不成其为	biqw
哔	bir
鄙人	birf
避让	birh
必然	birj
哔	birj
鄙	birl
吡	birp
比如	biru
壁	bis
璧	bis
比萨	bisa
臂	bisb
比赛	bisd
闭塞	bise
壁	bisg
必死	bisi
辟	bisj
不出所料	bisl
嬖	bisv
蔽	bit
笔套	bitc
荸	bitd
比特	bite
鼻涕	biti
薜	bitj
荜	bitj
笔挺	bitk
蔽	bitk
蓖	bitp
不成体统	bitt
鼻头	bitz
必杀	biua
必胜	biug
闭上	biuh
匕	biuh
鄙视	biui
匕	bium
避暑	biuu
避税	biuv
笔顺	biuy
匕首	biuz
婢	biv
比照	bivc
逼债	bivd
闭着	bive
逼真	bivf
必争	bivg
臂章	bivh
壁纸	bivi
婢	bivj
妣	bivp
比重	bivs
不吃这一套	bivt
畀	biw
逼问	biwf
臂弯	biwj
畀	biwl
不成问题	biwt
比武	biwu
笔芯	bixb
别出心裁	bixc
报仇雪恨	bixh
鼻息	bixi
笔形	bixk
避嫌	bixm
避险	bixm
辟邪	bixp
必修	bixq
必选	bixr
鼻血	bixt
必须	bixu
不耻下问	bixw
陛下	bixx
避	biy
鼻音	biyb
必要	biyc
毕业	biye
鼻翼	biyi
鄙夷	biyi
闭眼	biyj
鼻炎	biyj
不齿于人	biyr
必用	biys
比喻	biyu
逼	biyw
避孕	biyy
必有	biyz
鼻子	bizi
比作	bizo
鼻祖	bizu
闭嘴	bizv
逼走	bizz
办	bj
背景	bj
昄	bjae
办案	bjan
笔记本	bjb
半百	bjbd
版本	bjbf
半壁	bjbi
斑斑	bjbj
搬兵	bjbk
半斤八两	bjbl
半边	bjbm
不紧不慢	bjbm
斑驳	bjbo
不见不散	bjbs
颁布	bjbu
八九不离十	bjbu
不疾不徐	bjbx
不骄不躁	bjbz
颁	bjc
板材	bjcd
半仓	bjch
班次	bjci
颁	bjco
饱经沧桑	bjcs
板	bjd
搬到	bjdc
半岛	bjdc
不见得	bjde
板凳	bjdg
班底	bjdi
不计代价	bjdj
不记得了	bjdl
不减当年	bjdn
柈	bjdq
半段	bjdr
搬动	bjds
伴读	bjdu
北京大学	bjdx
湴	bjec
比肩而立	bjel
湴	bjem
不教而诛	bjev
比较而言	bjey
不胫而走	bjez
半	bjf
办法	bjfa
半分	bjff
宝剑锋从磨砺出	bjfi
不解风情	bjfq
饱经风霜	bjfu
坂	bjg
不及格	bjg
半个	bjge
不见棺材不落泪	bjgl
办公	bjgs
版规	bjgv
白驹过隙	bjgx
般	bjh
比较好	bjh
办好	bjhc
瘢痕	bjhf
保驾护航	bjhh
半酣	bjhj
版画	bjhx
班车	bjie
办成	bjig
半场	bjih
班禅	bjij
搬出	bjiu
不仅仅	bjj
半斤	bjjb
班级	bjji
半径	bjjk
颁奖	bjjl
半角	bjjn
半截	bjjp
斑鸠	bjjq
半句	bjju
比肩接踵	bjjv
搬家	bjjx
别具匠心	bjjx
办	bjkc
搬开	bjkd
瘢	bjke
癍	bjkg
版块	bjkk
不积跬步无以至千里	bjkl
半空	bjks
扮酷	bjku
版	bjl
不见了	bjle
版	bjle
伴郎	bjlh
办理	bjli
斑斓	bjlj
冰激凌	bjlk
半裸	bjlo
半路	bjlu
伴侣	bjlv
背井离乡	bjlx
保加利亚	bjly
病急乱投医	bjly
班	bjm
斑马	bjma
不结盟运动	bjmd
不结盟	bjmg
斑	bjmg
版面	bjmm
不讲面子	bjmz
阪	bjn
比基尼	bjni
伴娘	bjnl
半年	bjnm
搬弄	bjns
伴	bjo
钣	bjoe
伴	bjoq
保健品	bjpb
半拍	bjpd
半瓶	bjpk
半票	bjpn
般配	bjpw
搬	bjq
不久前	bjq
扳	bjqe
扮	bjqh
搬迁	bjqm
并驾齐驱	bjqq
拌	bjqq
版权	bjqr
不计其数	bjqu
不计前嫌	bjqx
不仅如此	bjrc
半日	bjri
不尽然	bjrj
不近人情	bjrq
搬入	bjru
不尽人意	bjry
悲剧色彩	bjsc
半死	bjsi
不见森林	bjsl
不假思索	bjss
巴基斯坦	bjst
伴随	bjsv
半天	bjtm
办妥	bjto
靽	bjtq
不见天日	bjtr
半桶	bjts
半途	bjtu
不见兔子不撒鹰	bjty
北京市	bju
半身	bjuf
半生	bjug
班上	bjuh
办事	bjui
半山	bjuj
杯酒释兵权	bjuq
半数	bjuu
版税	bjuv
北京师范大学	bjux
扳手	bjuz
绊	bjv
必经之地	bjvd
办证	bjvg
班长	bjvh
败军之将	bjvj
必经之路	bjvl
百家争鸣	bjvm
不解之谜	bjvm
绊	bjvq
搬砖	bjvr
不经之谈	bjvt
版主	bjvu
不见真佛不烧香	bjvx
不解之缘	bjvy
斑纹	bjwf
保家卫国	bjwg
办完	bjwj
不尽完美	bjwm
伴舞	bjwu
百家姓	bjx
不拘小节	bjxj
颁行	bjxk
扮相	bjxl
半仙	bjxm
不尽相同	bjxt
瓣	bjy
不经意	bjy
板鸭	bjya
败局已定	bjyd
半夜	bjye
不绝于耳	bjye
别具一格	bjyg
不拘一格	bjyg
不久以后	bjyh
搬移	bjyi
扮演	bjyj
不经意间	bjyj
不讲义气	bjyq
半圆	bjyr
半月	bjyt
不经一事不长一智	bjyv
搬运	bjyy
败家子	bjz
班子	bjzi
扮作	bjzo
不进则退	bjzt
班组	bjzu
拌嘴	bjzv
并肩作战	bjzv
伴奏	bjzz
并	bk
昺	bka
昺	bkab
并案	bkan
冰雹	bkbc
兵败	bkbd
冰棒	bkbh
冰冰	bkbk
病变	bkbm
不可避免	bkbm
并不	bkbu
百看不厌	bkby
闭口不言	bkby
并存	bkcy
柄	bkd
槟	bkd
冰岛	bkdc
冰袋	bkdd
不可多得	bkdd
冰灯	bkdg
冰点	bkdm
冰雕	bkdn
冰冻	bkds
病毒	bkdu
不可遏制	bkev
炳	bkf
兵法	bkfa
炳	bkfb
冰封	bkfg
不可分割	bkfg
病房	bkfh
不可否认	bkfr
并非	bkfw
不可方物	bkfw
禀告	bkgc
病根	bkgf
饼干	bkgj
不可估量	bkgl
不可告人	bkgr
秉公	bkgs
病故	bkgu
冰柜	bkgv
冰棍	bkgy
并购	bkgz
秉	bkh
病号	bkhc
病害	bkhd
冰河	bkhe
秉	bkhl
不可或缺	bkhq
病患	bkhr
不堪回首	bkhu
冰	bki
秉承	bkig
秉持	bkii
病床	bkil
冰川	bkir
摒除	bkiu
并进	bkjb
不可兼得	bkjd
并击	bkji
并将	bkjl
并肩	bkjm
冰窖	bkjn
并就	bkjq
病句	bkju
病假	bkjx
病菌	bkjy
不可救药	bkjy
病	bkk
病	bkkb
并可	bkke
不可开交	bkkj
不可抗拒	bkkj
冰块	bkkk
并口	bkkz
蛃	bkl
蛃	bklb
病了	bkle
冰冷	bklg
槟榔	bklh
病例	bkli
冰凉	bkll
并联	bklm
并列	bklp
不考虑	bklv
不可理喻	bkly
丙	bkm
兵马	bkma
百口莫辩	bkmb
禀明	bkmk
邴	bkml
不可磨灭	bkmm
病魔	bkmo
不可名状	bkmv
并没	bkmw
饼	bkn
不可能吧	bknb
不可能的	bknd
不可能	bkng
兵	bko
兵	bkoc
并排	bkpd
不可偏废	bkpf
不靠谱	bkpu
摒	bkq
不客气	bkq
兵器	bkqi
不可企及	bkqj
摒	bkqj
病情	bkqk
并且	bkqp
冰球	bkqq
兵权	bkqr
摒	bkqt
不堪入耳	bkre
病人	bkrf
不堪入目	bkrm
病容	bkrs
并入	bkru
不可饶恕	bkru
宾客如云	bkry
病死	bksi
不看僧面看佛面	bksm
屏	bkst
不可思议	bksy
病榻	bkta
病态	bktd
不可替代	bktd
冰糖	bkth
不可调和	bkth
兵团	bktr
病痛	bkts
病退	bktv
不可同日而语	bkty
冰上	bkuh
病逝	bkui
冰山	bkuj
冰霜	bkul
别开生面	bkum
兵书	bkuu
不可收拾	bkuu
冰水	bkuv
不堪设想	bkux
冰镇	bkvf
不堪重负	bkvf
病症	bkvg
不可捉摸	bkvm
冰柱	bkvu
不可战胜	bkvu
并网	bkwh
不可挽回	bkwh
并无	bkwu
并未	bkww
不开心	bkxb
屏息	bkxi
并行	bkxk
冰箱	bkxl
不可限量	bkxl
冰鞋	bkxp
不可小觑	bkxq
冰雪	bkxt
不可信其无	bkxw
不可想象	bkxx
禀	bky
不可以	bky
病因	bkyb
不可以的	bkyd
禀	bkyf
不可言传	bkyi
不堪一击	bkyj
兵营	bkyk
不可以吗	bkym
并用	bkys
并于	bkyu
不可一世	bkyu
不可言状	bkyv
不可逾越	bkyy
不可言喻	bkyy
并有	bkyz
不可造次	bkzc
并在	bkzd
饼子	bkzi
本来	bl
波澜不惊	blbj
不伦不类	blbl
白萝卜	blbo
不离不弃	blbq
变来变去	blbq
不冷不热	blbr
奔流不息	blbx
表里不一	blby
不理睬	blcd
不吝赐教	blcj
波罗的海	bldh
白兰地	bldi
便利店	bldm
薄利多销	bldx
不劳而获	bleh
别浪费了	blfl
不露锋芒	blfm
拨乱反正	blfv
别浪费	blfw
不良反应	blfy
巴拉圭	blgv
博览会	blhv
百炼成钢	blig
鬓乱钗横	blih
半路出家	blij
兵临城下	blix
碧螺春	bliy
兵来将挡	bljd
濒临绝境	bljj
不良记录	bljl
不了解	bljp
本来就是	blju
八路军	bljy
不离开	blkd
暴力抗法	blkf
不落窠臼	blkj
不聊了	blle
筚路蓝缕	blll
不了了之	bllv
爆冷门	blmf
菠萝蜜	blmi
本来面目	blmm
舶来品	blpb
步履蹒跚	blpu
不留情面	blqm
保龄球	blqq
壁立千仞	blqr
博览群书	blqu
病来如山倒	blrd
表里如一	blry
布鲁塞尔	blse
巴勒斯坦	blst
壁垒森严	blsy
白里透红	blth
柏拉图	bltu
百里挑一	blty
不论是	blu
比利时	blui
不露声色	blus
避雷针	blvf
不吝指教	blvj
波澜壮阔	blvk
别来这一套	blvt
芭蕾舞	blw
逼良为娼	blwi
步履维艰	blwj
包罗万象	blwx
别来无恙	blwy
暴露无遗	blwy
半老徐娘	blxn
不留余地	blyd
不利于	blyu
本来以为	blyw
伯利兹	blz
不良资产	blzi
布朗族	blzu
边	bm
变	bm
昪	bma
昪	bmat
贬	bmb
不明白	bmb
不明不白	bmbb
编报	bmbc
便便	bmbm
辩驳	bmbo
贬	bmbo
辨别	bmbp
遍布	bmbu
辩才	bmcd
鞭策	bmce
辩词	bmci
便餐	bmcj
变大	bmda
编导	bmdc
变得	bmde
便当	bmdh
遍地	bmdi
贬低	bmdi
扁担	bmdj
编订	bmdk
变调	bmdn
变动	bmds
编队	bmdv
本末倒置	bmdv
扁豆	bmdz
汴	bme
匾额	bmee
不谋而合	bmeh
汴	bmey
煸	bmf
变法	bmfa
边锋	bmfg
边防	bmfh
便饭	bmfj
蝙蝠	bmfu
闭门羹	bmg
变革	bmge
变更	bmgg
边关	bmgr
变故	bmgu
变卦	bmgx
扁	bmh
编号	bmhc
变坏	bmhk
变换	bmhr
辩护	bmhu
变回	bmhv
变化	bmhx
扁	bmi
编程	bmi
变差	bmia
便车	bmie
变成	bmig
变长	bmih
鞭笞	bmii
弁	bmit
边陲	bmiv
辩解	bmj
编辑	bmji
边境	bmjk
边疆	bmjl
边检	bmjm
便捷	bmjp
编剧	bmju
边距	bmju
便可	bmke
变快	bmkk
边框	bmkl
褊	bml
蝙	bmlb
变老	bmlc
变了	bmle
八面来风	bmlf
变冷	bmlg
便利	bmli
遍历	bmli
变量	bmll
八面玲珑	bmll
变脸	bmlm
辩论	bmly
扁	bmm
砭	bmm
编码	bmma
便民	bmmb
碥	bmmb
边贸	bmmc
变卖	bmmd
边门	bmmf
便秘	bmmi
变慢	bmmj
辨明	bmmk
鳊	bmn
鳊	bmnb
班门弄斧	bmnf
本命年	bmnm
便溺	bmnn
变暖	bmnr
不瞒你说	bmnu
编内	bmnw
便	bmo
便	bmok
忭	bmp
变频	bmpb
鞭炮	bmpc
编排	bmpd
变盘	bmpj
扁平	bmpk
抃	bmq
便签	bmq
变强	bmql
变迁	bmqm
扁鹊	bmqt
编曲	bmqu
不谋其政	bmqv
边卡	bmqx
抃	bmqy
辨认	bmrf
编入	bmru
匾	bmsb
边塞	bmsd
变色	bmse
闭门思过	bmsg
变速	bmsu
贬损	bmsy
不明所以	bmsy
鞭	bmt
苄	bmt
鞭挞	bmta
萹	bmtb
变态	bmtd
变体	bmti
变天	bmtm
便条	bmtn
变通	bmts
苄	bmty
变身	bmuf
边上	bmuh
辨识	bmui
表面上看	bmuk
变数	bmuu
编	bmv
编织	bmv
变招	bmvc
不毛之地	bmvd
编者	bmve
变阵	bmvf
辩证	bmvg
不买账	bmvh
编制	bmvi
贬值	bmvi
便装	bmvl
编撰	bmvr
变种	bmvs
编著	bmvu
百忙之中	bmvv
拔苗助长	bmvv
不明真相	bmvx
笔墨纸砚	bmvy
北美洲	bmvz
编外	bmwd
变温	bmwf
编舞	bmwu
表面文章	bmwv
变为	bmww
白马王子	bmwz
保密性	bmx
变心	bmxb
宝马香车	bmxi
变形	bmxk
变相	bmxl
变现	bmxm
变小	bmxn
编写	bmxp
便携	bmxp
编修	bmxq
表面现象	bmxx
遍	bmy
辩	bmy
辨	bmy
变压	bmya
编印	bmyb
遍野	bmye
变	bmye
变样	bmyh
变异	bmyi
编译	bmyi
边沿	bmyj
辫	bmyj
辨	bmyj
不名一钱	bmyq
边缘	bmyr
兵马俑	bmys
边	bmys
便于	bmyu
不名一文	bmyw
卞	bmyy
便有	bmyz
编造	bmzc
辫子	bmzi
闭门造车	bmzi
变作	bmzo
编纂	bmzr
编组	bmzu
不鸣则已	bmzy
表	bn
膘	bnb
标靶	bnba
表白	bnbd
标本	bnbf
膘	bnbf
标榜	bnbh
标兵	bnbk
不男不女	bnbn
脿	bnbv
百年不遇	bnby
表层	bncg
标	bnd
表达	bnda
表带	bndd
表弟	bndi
杓	bndi
表单	bndj
百年大计	bndj
标点	bndm
杓	bndm
本年度	bndu
瀌	bnef
熛	bnff
不耐烦	bnfj
表哥	bng
表格	bnge
标杆	bngj
表功	bngs
百年好合	bnhh
彪悍	bnhj
裱糊	bnhu
飑	bnhu
飙	bni
飙车	bnie
百鸟朝凤	bnif
标尺	bnii
飙	bnik
标出	bniu
不念旧恶	bnje
标记	bnji
表姐	bnjp
表决	bnjt
镖局	bnju
标价	bnjx
瘭	bnk
瘭	bnkf
不难看出	bnki
裱	bnl
表里	bnli
表链	bnlm
表露	bnlu
裱	bnlv
巴拿马	bnma
表明	bnmk
表面	bnmm
表妹	bnmw
鳔	bnn
骠	bnnf
鳔	bnnf
表内	bnnw
百年难遇	bnny
镖	bno
俵	bno
镳	bnof
儦	bnof
俵	bnov
标牌	bnpd
表皮	bnpi
标配	bnpw
表亲	bnqb
摽	bnqf
表情	bnqk
标枪	bnql
标签	bnqm
表	bnqv
表嫂	bnsc
饱暖思淫欲	bnsy
蔈	bnt
表态	bntd
藨	bntf
蔈	bntf
标题	bnti
表头	bntz
飙升	bnug
表示	bnui
表率	bnuk
表述	bnuu
婊	bnv
白内障	bnv
表针	bnvf
表征	bnvg
表彰	bnvh
标志	bnvi
标注	bnvu
标准	bnvy
表外	bnwd
笨鸟先飞	bnxf
表形	bnxk
表象	bnxl
表现	bnxm
表兄	bnxs
不难想象	bnxx
彪	bny
表页	bnye
表扬	bnyh
彪	bnyh
表演	bnyj
标语	bnyu
标有	bnyz
不能自拔	bnzb
婊子	bnzi
不能自已	bnzy
拨	bo
博爱	boai
膊	bob
播报	bobc
脖	bobd
膊	bobi
薄冰	bobk
伯伯	bobo
菠菜	bocd
柏	bod
拨打	boda
柏	boda
波导	bodc
桲	bodd
博得	bode
欂	bodi
剥掉	bodn
剥夺	bodo
僰	bodo
波段	bodr
波动	bods
搏斗	bodz
波	boe
泊	boea
波	boee
波恩	boen
渤	boes
播发	bofa
播放	bofh
伯父	bofu
拨付	bofu
脖梗	bogg
剥光	bogl
箔	boh
帛	boh
馞	boh
舶	boha
帛	bohb
拨号	bohc
渤海	bohd
馞	bohd
薄荷	bohe
簸	bohe
簿	bohi
驳回	bohv
波黑	bohw
泊车	boie
波长	boih
驳斥	boii
播出	boiu
博	boj
孛	boj
波及	boji
搏击	boji
鹁	bojm
跛脚	bojn
薄酒	bojq
勃	bojs
伯爵	bojt
拨开	bokd
博客	boke
拨款	bokr
柏林	bolb
舶来	bold
伯乐	bole
袯	bole
波浪	bolh
玻璃	boli
剥离	boli
波澜	bolj
菠萝	bolo
玻	bom
珀	boma
玻	bome
礴	bomi
搏命	bomk
薄面	bomm
砵	bomm
伯母	bomu
剥	bon
鲌	bon
鲌	bona
饽	bond
驳	bonk
剥	bonn
拨弄	bons
伯	boo
铂	boo
伯	booa
钹	booe
𬭛	booe
镈	booi
钵	boom
剥皮	bopi
播	boq
拨	boqe
勃起	boqi
搏	boqi
薄情	boqk
博取	boqu
播	boqw
跛	bor
啵	bor
哱	bord
般若	bore
跛	bore
啵	bore
薄弱	boro
踣	borr
播撒	bosa
檗	bosd
波斯	bosi
擘	bosq
播送	boss
薄	bot
波涛	botc
菠	bote
薄	boti
拨通	bots
蕃	botw
搏杀	boua
博士	boui
嶓	bouw
波折	bove
播种	bovs
波纹	bowf
泊位	boww
博学	box
波形	boxk
剥削	boxt
剥下	boxx
卜	boy
波音	boy
播音	boyb
博弈	boyi
播映	boyk
亳	boyp
脖子	bozi
跛足	bozu
别	bp
别把	bpba
不怕不识货	bpbh
不偏不倚	bpby
别的	bpde
别动	bpds
别逗	bpdz
憋	bpf
鳖	bpfm
蹩	bpfo
憋	bpfp
别国	bpgo
别管	bpgr
别号	bphc
不平衡	bphg
别慌	bphl
别后	bphz
不排除	bpi
别吵	bpic
别称	bpig
别处	bpiu
别急	bpji
蹩脚	bpjn
别家	bpjx
瘪	bpk
别克	bpke
别看	bpkj
瘪	bpkp
别哭	bpku
别来	bpld
别了	bple
别离	bpli
杯盘狼藉	bplj
别论	bply
憋闷	bpmf
别忙	bpmh
别名	bpmk
不怕没柴烧	bpmu
别闹	bpnc
别扭	bpnq
别弄	bpns
别怕	bppa
别跑	bppc
别碰	bppg
憋屈	bpq
憋气	bpqi
别去	bpqu
别	bpr
别人	bprf
别让	bprh
别	bprn
不怕死	bps
憋死	bpsi
瘪三	bpsj
别提	bpti
白皮书	bpu
别傻	bpua
别上	bpuh
别说	bpuo
别墅	bpuu
别手	bpuz
憋着	bpve
别针	bpvf
别致	bpvi
别问	bpwf
别忘	bpwh
别为	bpww
别想	bpxl
别笑	bpxn
别样	bpyh
别用	bpys
白跑一趟	bpyt
不怕一万	bpyw
不怕一万，就怕万一	bpyy
别再	bpzd
别字	bpzi
憋足	bpzu
别走	bpzz
并且	bq
不欺暗室	bqau
不清不楚	bqbi
不屈不挠	bqbn
不确定	bqdk
不确定性	bqdx
不期而至	bqev
不期而遇	bqey
薄情寡义	bqgy
不清楚	bqiu
冰淇淋	bqlb
鼻青脸肿	bqlv
兵强马壮	bqmv
屏气凝神	bqnu
不求人	bqrf
避其锐气	bqrq
版权所有	bqsy
包青天	bqtm
不求甚解	bqu
不切实际	bquj
不求上进	bquj
不情之请	bqvq
不起眼	bqy
不求有功	bqyg
冰清玉洁	bqyj
不请自来	bqzl
不起作用	bqzy
不然	br
勃然变色	brbs
不仁不义	brby
不认得	brde
不然的话	brdh
勃然大怒	brdn
白日飞升	brf
不容分说	brfu
病入膏肓	brgh
白热化	brh
步人后尘	brhi
不容忽视	brhu
不入虎穴	brhx
不入虎穴，焉得虎子	brhz
不容乐观	brlg
白日梦	brmg
被人卖了还帮着数钱	brmq
哺乳期	brqi
不如退而结网	brtw
不认识	brui
不辱使命	brum
比如说	bruo
不认账	brv
步入正轨	brvg
不容置喙	brvh
不忍直视	brvu
不容置疑	brvy
不忍心	brx
兵戎相见	brxj
包容性	brxk
不容小觑	brxq
不容许	brxu
不容易	bryi
不如意事常八九	bryj
不容有失	bryu
不忍卒读	brzd
白日做梦	brzm
比赛	bs
百思不得其解	bsb
半死不活	bsbh
百思不解	bsbj
不三不四	bsbs
不死不休	bsbx
不思悔改	bshg
不思进取	bsjq
白色恐怖	bskb
巴塞罗那	bsln
变色龙	bsls
波斯尼亚	bsny
比死人多口气	bsrq
不算数	bsuu
不速之客	bsvk
波斯湾	bswj
必死无疑	bswy
不死心	bsxb
不同	bt
半推半就	btbj
不吐不快	btbk
笨头笨脑	btbn
不痛不痒	btby
八抬大轿	btdj
白头到老	btdl
不同的人	btdr
不太懂	btds
不停的说	btdu
半途而废	btef
白头发	btfa
不同凡俗	btfs
不同凡响	btfx
不太好	bthc
冰糖葫芦	bthl
白天黑夜	bthy
不同程度	btid
不提倡	btih
不同程度上	btiu
不推荐	btjm
不太可能	btkn
别提了	btl
拜托了	btle
不太了解	btlj
不听老人言，吃亏在眼前	btlq
遍体鳞伤	btlu
不太理想	btlx
不听老人言	btly
不太明白	btmb
半透明	btmk
悲天悯人	btmr
不听劝	btq
不太清楚	btqi
趵突泉	btqr
暴跳如雷	btrl
扁桃体	btti
抱头痛哭	bttk
暴殄天物	bttw
抱头鼠窜	btuc
遍体生寒	btuh
半桶水	btuv
不同之处	btvi
不同政见	btvj
白头翁	btwg
不太像	btx
冰天雪地	btxd
不同寻常	btxi
白头偕老	btxl
波涛汹涌	btxy
不提也罢	btyb
不同意	btyi
悲痛欲绝	btyj
不同于	btyu
不太一样	btyy
部	bu
步	bu
晡	bua
晡	buab
不安	buan
不是吧	buba
不败	bubd
不笨	bubf
不必	bubi
补办	bubj
笨手笨脚	bubj
步兵	bubk
百试百灵	bubl
不变	bubm
半身不遂	bubs
半生不熟	bubu
不备	bubw
不声不响	bubx
比上不足，比下有余	buby
比上不足	bubz
不测	buce
不曾	bucg
补仓	buch
不辞	buci
不错	buco
辨识度	bud
不大	buda
不到	budc
布袋	budd
板上钉钉	budd
不得	bude
不等	budg
不当	budh
不敌	budi
不但	budj
补丁	budk
步调	budn
不多	budo
不断	budr
不懂	buds
不对	budv
部队	budv
不都	budz
不饿	buee
不二	buer
不舒服	buf
步伐	bufa
不守妇道	bufd
不施粉黛	bufd
部分	buff
不妨	bufh
不凡	bufj
不符	bufu
不菲	bufw
饱受非议	bufy
埠	bug
埔	bugb
不高	bugc
不该	bugd
不跟	bugf
不敢	bugj
不怪	bugk
不光	bugl
不过	bugo
不管	bugr
不公	bugs
不顾	bugu
不贵	bugv
不给	bugw
卜卦	bugx
不够	bugz
不适合	buh
不好	buhc
不识好歹	buhd
不和	buhe
不很	buhf
班师回朝	buhi
簿	buhi
不含	buhj
不坏	buhk
不慌	buhl
捕获	buho
不还	buhr
白山黑水	buhu
不会	buhv
不识好人心	buhx
不差	buia
不是吃素的	buid
不成	buig
补偿	buih
不迟	buii
𬷕	buim
补充	buis
办事处	buiu
杯水车薪	buix
不愁	buiz
备受煎熬	buja
不仅	bujb
不急	buji
布景	bujk
不胜酒力	bujl
部件	bujm
不解	bujp
不久	bujq
补救	bujq
不觉	bujt
布局	buju
布	buk
补考	bukc
不肯	bukf
宝山空回	bukh
不堪	bukj
不快	bukk
百事可乐	bukl
布控	buks
不哭	buku
不愧	bukv
补	bul
捕捞	bulc
不来	buld
不说了	bule
不冷	bulg
不理	buli
补篮	bulj
不灵	bulk
不良	bull
不识庐山真面目	bulm
不料	buln
部落	bulo
捕猎	bulp
不留	bulq
逼上梁山	bulu
步履	bulv
不累	bulw
不论	buly
补漏	bulz
不	bum
不是吗	buma
不买	bumd
部门	bumf
不	bumf
不忙	bumh
不满	bumj
不胜枚举	bumj
不明	bumk
不甚明了	buml
不免	bumm
不妙	bumn
醭	bumo
不灭	bump
不能	bung
不难	bunj
堡	buo
钚	buo
堡	buog
怖	bup
不怕	bupa
补品	bupb
怖	bupb
布匹	bupi
不平	bupk
补票	bupn
不配	bupw
捕	buq
补全	buq
不胜其烦	buqf
白手起家	buqj
步枪	buql
不巧	buqn
不求	buqq
不全	buqr
不缺	buqt
不去	buqu
冰释前嫌	buqx
哺	bur
不热	bure
不忍	burf
不让	burh
不日	buri
不然	burj
不容	burs
不如	buru
不胜荣幸	burx
卟	bury
不死	busi
不算	busr
不送	buss
蔀	but
不疼	butg
不提	buti
不识抬举	butj
不停	butk
不妥	buto
补贴	butp
不同	buts
不图	butu
捕杀	buua
不少	buuc
不是省油的灯	buud
不舍	buue
不慎	buuf
不胜	buug
补上	buuh
不是	buui
不失时机	buuj
不爽	buul
不说	buuo
部署	buuu
跋山涉水	buuu
补水	buuv
不识时务	buuw
不顺	buuy
部首	buuz
部长	buvh
布置	buvi
捕捉	buvo
饱食终日	buvr
补助	buvu
不时之需	buvx
不准	buvy
步骤	buvz
不失为	buw
不外	buwd
不问	buwf
不忘	buwh
不玩	buwj
榜上无名	buwm
不是问题	buwt
不无	buwu
部位	buww
必输无疑	buwy
不信	buxb
不惜	buxi
补习	buxi
不行	buxk
不想	buxl
不限	buxm
不孝	buxn
不屑	buxp
补休	buxq
不学	buxt
不许	buxu
博士学位	buxw
部下	buxx
不逊	buxy
卜	buy
不适应	buy
不雅	buya
逋	buyb
不要	buyc
不是一个	buyg
步	buyh
冰山一角	buyj
不应	buyk
榜上有名	buym
不是鱼死，就是网破	buyp
不愿	buyr
不用	buys
不悦	buyt
不是冤家不聚头	buyt
不予	buyu
捕鱼	buyu
背水一战	buyv
败事有余	buyy
不由	buyz
不在	buzd
步子	buzi
不做	buzo
不足	buzu
保证	bv
不着边际	bvb
包治百病	bvbb
百战不殆	bvbd
百折不回	bvbh
不知不觉	bvbj
不折不扣	bvbk
保质保量	bvbl
百折不挠	bvbn
百战百胜	bvbu
半遮半掩	bvby
不知道	bvdc
不值得	bvde
不知道了	bvdl
不知道为什么	bvdm
不着调	bvdn
不战而屈人之兵	bveb
不战而胜	bveu
辩证法	bvfa
本职工作	bvgz
标准化	bvh
不知好歹	bvhd
不着痕迹	bvhj
屏住呼吸	bvhx
白纸黑字	bvhz
扮猪吃老虎	bvih
不支持	bvii
保证金	bvjb
不知就里	bvjl
避重就轻	bvjq
不知进退	bvjt
不置可否	bvkf
不知廉耻	bvli
不知名	bvmk
不撞南墙不回头	bvnt
不知其二	bvqe
保质期	bvqi
不知情	bvqk
不值钱	bvqm
不知其所以然	bvqr
不正确	bvqt
不知趣	bvqu
不知轻重	bvqv
不知去向	bvqx
班主任	bvrf
宾至如归	bvrg
不知肉味	bvrw
不知所措	bvsc
不知所终	bvsv
不知所云	bvsy
不折腾	bvtg
不知天高地厚	bvth
不中听	bvtk
不只是	bvui
不知深浅	bvuq
不知生死	bvus
必争之地	bvvd
标志着	bvve
不正之风	bvvf
伯仲之间	bvvj
不治之症	bvvv
不知者不罪	bvvz
不指望	bvw
不知为何	bvwh
不知为不知	bvwv
不知羞耻	bvxi
